Maturity,a,b,rho,m,sigma
0.00821918,0.00170744201486428,0.03372767606713056,-0.9928578763630518,-0.011891924414740851,0.1967583712700403
0.02465753,5.984440108103284e-06,0.067501931914832,-0.9966811165813282,-0.09109506596933525,0.27945414523377377
0.04657534,9.446199166179836e-06,0.08017702524627734,-0.9989125237195401,-0.11122060568629388,0.3173185386964809
0.06575342,8.883574127011018e-08,0.0887348947962543,-0.9988676119597373,-0.13257267282729934,0.38897306136705023
0.08493151,1.5418286555039795e-05,0.08855814682372598,-0.9984041207789669,-0.11108224911046372,0.4134322133422948
0.10410959,4.089044997927782e-05,0.08435993879603587,-0.9672369848158074,-0.028712960679296184,0.3916457713826443
0.12328767,1.4241172667376043e-05,0.0879019934851056,-0.9701178919628323,-0.024270131019922876,0.40545595851375954
0.20000000,1.9928465431265363e-06,0.08722810048485163,-0.9988546693643708,0.059066817703476104,0.43235790913469563
0.27671233,1.6051553778531372e-05,0.09881490059610992,-0.9988205245892557,0.02549859396765082,0.4941577659727553
0.35342466,0.00012022530809835639,0.10230444290516492,-0.9982401815072738,0.06001315992299301,0.5353376146985332
0.44931507,5.8499576848360816e-05,0.19457819869471277,0.11240808744401083,0.30811154029201143,0.2533107155662087
0.52602740,9.130476967807332e-05,0.18806305721118602,0.0014204534576795302,0.28429473513833864,0.29889825327994907
0.69863014,0.02588649143677715,0.2512338840132316,0.33944001924993383,0.37025645189403483,0.13634725265161823
0.77534247,0.07565572079719861,0.12466647797115707,-0.3099274976242713,0.14332614882817868,0.041998557850533885
0.94794521,0.07043056931390822,0.25140781284754493,0.31332091104386867,0.24083831093382138,0.06381564659991813
1.19452055,0.08055521054029216,0.30230237183933584,0.3999428546560757,0.2878472184728528,0.08079037152871618
1.69589041,0.022515683432027256,0.64798684179875,0.6371594328867943,0.5101382754114772,0.24334734986947643
1.77260274,0.09934205879742844,0.36514142353793066,0.40256819827665763,0.33885430968665803,0.14070409184841534
2.19178082,0.09989417200767485,0.4952604320218295,0.45739954261763766,0.3595683695787759,0.11223408861560319
2.69315068,0.1,0.5732504946223674,0.44302500096490055,0.3725909289522116,0.10495000953669077
