Maturity,a,b,rho,m,sigma
0.00821918,0.001867456886145253,0.033445146867593346,-0.9999949966997322,-0.011477202998053292,0.19317731153965925
0.02465753,3.6470840807327945e-10,0.06763087612199699,-0.999999995848554,-0.09272007211009844,0.2804564761075127
0.04657534,4.872498181053688e-09,0.08041479724145463,-0.9999999483451943,-0.11266857896651727,0.3178588942221535
0.06575342,5.233945358297509e-12,0.0892066812606049,-0.9999999999868795,-0.13582252109376092,0.3897840670542383
0.08493151,7.026953489183301e-11,0.08913353609895765,-0.9999999998122301,-0.11529541899796594,0.41488065569270227
0.10410959,3.3729028589722224e-10,0.08396218967868113,-0.9999999985868793,-0.038157768457254215,0.40328042571447986
0.12328767,4.486134954744556e-11,0.08746045475260338,-0.999999999876277,-0.0327116838014123,0.41595833358717826
0.20000000,5.80840438947163e-10,0.08732843228664225,-0.9999999979100227,0.05791188696919587,0.43297602059045426
0.27671233,5.854229195932383e-09,0.09986338266328702,-0.9999999919835764,0.016629562921813584,0.4980733577567395
0.35342466,4.102156440626886e-09,0.10319645859144692,-0.9999999951518109,0.052340786719411635,0.539508016572721
0.44931507,1.454410224312257e-09,0.09878604193280054,-0.9999999999883187,0.14913065161076128,0.5511999217769075
0.52602740,7.427400571059607e-11,0.10727311978465796,-0.9999999999418439,0.11675566318771544,0.5971685290000361
0.69863014,3.9135637051771045e-09,0.11335618396256976,-0.9999999999047455,0.1277168461344042,0.6879554685029668
0.77534247,2.73860426805226e-10,0.11792617503569422,-0.999999999994429,0.12082691662131115,0.7199114110135161
0.94794521,4.1698785970802986e-11,0.12320763983890982,-0.999999999999581,0.10702604553155853,0.8196151072627762
1.19452055,9.372208741504235e-11,0.13498854118290138,-0.999999999997642,0.08689339282511975,0.9235213405965637
1.69589041,0.011783827636828557,0.15934760165511502,-1.0,0.04578351670819128,1.0
1.77260274,0.013958842090092257,0.1641805927250241,-1.0,0.039145835473784765,1.0
2.19178082,8.306775312666569e-13,0.20741116204504229,-0.999999999930772,0.004127275267621509,1.0
2.69315068,6.2443852208156195e-12,0.2438145422052665,-0.9999999998776391,0.0,0.9536323818727264
