Maturity,a,b,rho,m,sigma
0.02191781,1.0000000000000104e-05,0.05503132031848003,-0.49443980095703516,0.005964361755164473,0.14906676463169102
0.04383562,1e-05,0.06893277561138879,-0.4962194259089198,0.007590315268170441,0.1582021439665263
0.06301370,1e-05,0.0814663804122764,-0.5048037709237947,-0.001372468519299635,0.21585783050314866
0.08219178,1e-05,0.08282360315533788,-0.43909163134922263,0.03227327872233629,0.2193626033986288
0.10136986,1e-05,0.08993215402063713,-0.4404335501801111,0.03364314158966809,0.21657385337393584
0.12054795,0.0016278285073286851,0.08939614267506903,-0.44202780634149064,0.04371767709934299,0.21917485453529065
0.19726027,0.0028721627091162828,0.09542523183791407,-0.44956490403382543,0.09168303915170316,0.2252652958107489
0.27397260,0.009140201603683777,0.10307818345179551,-0.4480027212246789,0.07375665695323345,0.23633484572472183
0.35068493,0.013096754762643915,0.10267594603747059,-0.45680912981644217,0.1283384029914204,0.24285778717821907
0.44657534,1e-05,0.12394672292128821,-0.4632247205492815,0.1218771171981576,0.37918159184596095
0.52328767,0.006832968104698846,0.12145599067065194,-0.466091028627495,0.1371546244065702,0.38081741703262817
0.69589041,0.019544349584777743,0.12920476790946525,-0.4658292172408654,0.124787875269865,0.38252945821454953
0.77260274,0.038657168504148826,0.10731821747578733,-0.6350771823516113,0.12108347462392939,0.3543736437552865
0.94520548,0.052203252447545236,0.11319976855317326,-0.6347151358351146,0.10951953500324405,0.35629327164856994
1.19178082,0.0721906242668263,0.12120183894198981,-0.6343402506599979,0.09625303530523051,0.3594195318295153
1.69315068,0.123290057543163,0.10202931541074271,-0.999,0.06664842948485679,0.37214391693445154
1.76986301,0.13126893863072756,0.10190968580185832,-0.998680642039316,0.06165753229108166,0.3731784289668541
2.18904110,0.16286627478881352,0.10950280194090807,-0.9964608599840301,0.03360629241818757,0.37792575779620063
2.69041096,0.19125556617255435,0.12846735866349734,-0.999,0.004464142614495992,0.38637851850084703
